annee_de_deces;departement_de_domicile;sexe;cause_initiale_de_deces;effectif_de_deces
1990;01;Hommes;2. Tumeurs;665
1991;01;Hommes;2. Tumeurs;620
1992;01;Hommes;2. Tumeurs;611
1993;01;Hommes;2. Tumeurs;680
1994;01;Hommes;2. Tumeurs;629
1995;01;Hommes;2. Tumeurs;665
1996;01;Hommes;2. Tumeurs;622
1997;01;Hommes;2. Tumeurs;607
1998;01;Hommes;2. Tumeurs;688
1999;01;Hommes;2. Tumeurs;658
2000;01;Hommes;2. Tumeurs;725
2001;01;Hommes;2. Tumeurs;657
2002;01;Hommes;2. Tumeurs;685
2003;01;Hommes;2. Tumeurs;701
2004;01;Hommes;2. Tumeurs;710
2005;01;Hommes;2. Tumeurs;737
2006;01;Hommes;2. Tumeurs;753
2007;01;Hommes;2. Tumeurs;771
2008;01;Hommes;2. Tumeurs;756
2009;01;Hommes;2. Tumeurs;756
2010;01;Hommes;2. Tumeurs;755
2011;01;Hommes;2. Tumeurs;745
2012;01;Hommes;2. Tumeurs;803
2013;01;Hommes;2. Tumeurs;725
2014;01;Hommes;2. Tumeurs;776
2015;01;Hommes;2. Tumeurs;818
2016;01;Hommes;2. Tumeurs;792
2017;01;Hommes;2. Tumeurs;800
2018;01;Hommes;2. Tumeurs;823
2019;01;Hommes;2. Tumeurs;706
2020;01;Hommes;2. Tumeurs;786
2021;01;Hommes;2. Tumeurs;752
2022;01;Hommes;2. Tumeurs;772
1990;02;Hommes;2. Tumeurs;941
1991;02;Hommes;2. Tumeurs;920
1992;02;Hommes;2. Tumeurs;944
1993;02;Hommes;2. Tumeurs;936
1994;02;Hommes;2. Tumeurs;885
1995;02;Hommes;2. Tumeurs;992
1996;02;Hommes;2. Tumeurs;988
1997;02;Hommes;2. Tumeurs;942
1998;02;Hommes;2. Tumeurs;970
1999;02;Hommes;2. Tumeurs;954
2000;02;Hommes;2. Tumeurs;920
2001;02;Hommes;2. Tumeurs;996
2002;02;Hommes;2. Tumeurs;961
2003;02;Hommes;2. Tumeurs;949
2004;02;Hommes;2. Tumeurs;892
2005;02;Hommes;2. Tumeurs;940
2006;02;Hommes;2. Tumeurs;937
2007;02;Hommes;2. Tumeurs;891
2008;02;Hommes;2. Tumeurs;920
2009;02;Hommes;2. Tumeurs;959
2010;02;Hommes;2. Tumeurs;913
2011;02;Hommes;2. Tumeurs;872
2012;02;Hommes;2. Tumeurs;952
2013;02;Hommes;2. Tumeurs;917
2014;02;Hommes;2. Tumeurs;932
2015;02;Hommes;2. Tumeurs;964
2016;02;Hommes;2. Tumeurs;931
2017;02;Hommes;2. Tumeurs;854
2018;02;Hommes;2. Tumeurs;874
2019;02;Hommes;2. Tumeurs;892
2020;02;Hommes;2. Tumeurs;833
